epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,105.837,0.74792,2.21828,1.66798,0.87052,0.4,0.41742,0.17062,2.08235,2.93742,3.41314,0.00138656,0.00138656,0.00138656
5,132.694,0.58652,1.7841,1.50841,0.96854,0.4,0.68396,0.35527,1.49098,2.82834,2.99719,0.00137241,0.00137241,0.00137241
6,158.897,0.51603,1.62138,1.37917,0.95453,0.49977,0.70102,0.37016,1.44266,2.87377,3.4439,0.00135826,0.00135826,0.00135826
7,186.01,0.51051,1.54298,1.40136,0.84107,0.5,0.67569,0.35828,1.293,2.46106,2.81632,0.00134412,0.00134412,0.00134412
8,213.992,0.45944,1.52098,1.35725,0.8973,0.4,0.92957,0.32516,1.37842,2.38334,2.92841,0.00132997,0.00132997,0.00132997
9,241.37,0.46421,1.46494,1.37666,0.86283,0.35,0.43249,0.20117,1.41548,2.96785,3.13225,0.00131582,0.00131582,0.00131582
10,270.073,0.51345,1.4526,1.4624,0.85762,0.31433,0.3633,0.18823,1.30261,2.72291,2.68239,0.00130168,0.00130168,0.00130168
11,298.684,0.45374,1.44153,1.33131,0.779,0.35,0.55872,0.30378,1.62427,2.90252,3.22544,0.00128753,0.00128753,0.00128753
12,328.683,0.46301,1.40525,1.37805,0.52089,1,0.81579,0.48441,1.55162,2.91259,2.83004,0.00127338,0.00127338,0.00127338
13,357.084,0.36068,1.3553,1.21756,0.57763,1,0.95199,0.58718,1.16163,2.01102,2.33723,0.00125923,0.00125923,0.00125923
14,386.009,0.35522,1.24527,1.21891,0.6005,1,0.90705,0.47891,1.09637,2.18575,2.21196,0.00124509,0.00124509,0.00124509
15,413.648,0.33453,1.17358,1.21396,0.88938,0.44028,0.94543,0.70798,0.99363,2.33431,1.81749,0.00123094,0.00123094,0.00123094
16,441.657,0.30398,1.1565,1.16823,0.87222,0.45,0.9343,0.72513,0.88638,2.20013,1.65264,0.00121679,0.00121679,0.00121679
17,469.786,0.31766,1.13264,1.13526,0.92233,0.40812,0.93553,0.64286,0.97545,2.07197,1.83394,0.00120265,0.00120265,0.00120265
18,498.407,0.41136,1.12779,1.21498,0.93834,0.5,0.97152,0.74662,0.996,1.86784,1.83932,0.0011885,0.0011885,0.0011885
19,526.941,0.27203,0.99801,1.14115,0.96806,0.5,0.56381,0.42407,1.00648,2.00278,1.79746,0.00117435,0.00117435,0.00117435
20,555.477,0.31762,1.09629,1.15036,0.97605,0.5,0.52621,0.36025,1.16584,2.16408,1.81825,0.00116021,0.00116021,0.00116021
21,584.538,0.34503,1.09547,1.15703,1,0.49493,0.54725,0.41671,1.01181,1.61495,1.48683,0.00114606,0.00114606,0.00114606
22,612.029,0.33608,1.02804,1.13868,0.99319,0.5,0.53577,0.43467,0.91831,1.61446,1.32941,0.00113191,0.00113191,0.00113191
23,639.524,0.32972,0.98872,1.17741,0.99601,0.5,0.52119,0.44145,0.82631,1.57211,1.18146,0.00111776,0.00111776,0.00111776
24,667.703,0.27977,0.9397,1.14482,0.97308,0.5,0.52157,0.46248,0.63851,1.61271,1.11436,0.00110362,0.00110362,0.00110362
25,695.645,0.25733,0.9183,1.09645,0.99197,0.5,0.52119,0.46221,0.71633,1.5042,1.2454,0.00108947,0.00108947,0.00108947
26,723.687,0.27881,0.92155,1.11698,0.97437,0.5,0.52118,0.46094,0.73455,1.40573,1.38707,0.00107532,0.00107532,0.00107532
